ZIP_CODE,FHSZ,Risk Category
95457,2.3260869565217392,Moderate
95458,3.0,High
95459,1.8333333333333333,Moderate
95460,2.0,Moderate
95461,3.0,High
95462,1.75,Moderate
95464,3.0,High
95465,2.0,Moderate
95466,1.65,Moderate
95467,1.7142857142857142,Moderate
95468,1.8333333333333333,Moderate
95469,2.4347826086956523,Moderate
95470,2.1463414634146343,Moderate
95472,1.5,Moderate
95476,1.542857142857143,Moderate
95482,1.7534246575342465,Moderate
95485,2.5,High
95488,1.375,Low
95490,1.608695652173913,Moderate
95492,1.3,Low
95493,2.5,High
95494,2.0,Moderate
95497,1.5,Moderate
95501,1.0,Low
95503,1.368421052631579,Low
95511,2.0,Moderate
95514,2.2,Moderate
95519,1.2857142857142858,Low
95521,1.25,Low
95524,1.6666666666666667,Moderate
95525,1.7083333333333333,Moderate
95526,2.596774193548387,High
95527,2.966666666666667,High
95528,1.6666666666666667,Moderate
95531,2.347826086956522,Moderate
95536,1.75,Moderate
95540,1.2777777777777777,Low
95542,2.0555555555555554,Moderate
95543,2.823529411764706,High
95546,2.4130434782608696,Moderate
95547,1.0,Low
95548,2.0,Moderate
95549,1.9565217391304348,Moderate
95550,1.7058823529411764,Moderate
95551,1.0,Low
95552,2.8846153846153846,High
95554,1.6428571428571428,Moderate
95555,1.03125,Low
95556,2.88,High
95558,2.1794871794871793,Moderate
95560,1.2,Low
95562,1.6,Moderate
95563,2.933333333333333,High
95565,1.2727272727272727,Low
95567,1.5555555555555556,Moderate
95568,2.9722222222222223,High
95569,1.5,Moderate
95570,1.3333333333333333,Low
95573,2.9130434782608696,High
95585,2.5,High
95587,2.608695652173913,High
95589,2.4146341463414633,Moderate
95595,2.7560975609756095,High
95602,1.7777777777777777,Moderate
95603,1.7857142857142858,Moderate
95606,2.0,Moderate
95607,1.6363636363636365,Moderate
95614,2.2666666666666666,Moderate
95619,2.0,Moderate
95623,2.090909090909091,Moderate
95627,1.75,Moderate
95629,2.0,Moderate
95630,1.9,Moderate
95631,2.889705882352941,High
95632,2.0,Moderate
95633,2.611111111111111,High
95634,2.9615384615384617,High
95635,2.2142857142857144,Moderate
95636,3.0,High
95637,2.0,Moderate
95638,2.3333333333333335,Moderate
95640,1.75,Moderate
95642,2.1714285714285713,Moderate
95648,1.1666666666666667,Low
95650,1.625,Moderate
95651,2.111111111111111,Moderate
95658,1.6923076923076923,Moderate
95663,1.5,Moderate
95664,2.5,High
95665,2.3333333333333335,Moderate
95666,2.2115384615384617,Moderate
95667,2.1904761904761907,Moderate
95669,2.0,Moderate
95672,1.9090909090909092,Moderate
95679,2.75,High
95681,1.3333333333333333,Low
95682,2.156862745098039,Moderate
95683,1.4615384615384615,Low
95684,2.6666666666666665,High
95685,2.25,Moderate
95687,1.4,Low
95688,1.75,Moderate
95689,2.6666666666666665,High
95692,1.3333333333333333,Low
95693,1.0,Low
95694,1.7058823529411764,Moderate
95698,1.5,Moderate
95701,3.0,High
95703,2.0,Moderate
95709,2.6666666666666665,High
95713,2.8947368421052633,High
95714,3.0,High
95715,3.0,High
95717,3.0,High
95720,2.75,High
95721,2.7142857142857144,High
95722,1.6666666666666667,Moderate
95724,2.9166666666666665,High
95726,2.9615384615384617,High
95728,3.0,High
95735,2.75,High
95742,1.0,Low
95746,1.8333333333333333,Moderate
95762,1.826086956521739,Moderate
95901,1.619047619047619,Moderate
95903,1.0,Low
95910,3.0,High
95912,1.5,Moderate
95914,2.5,High
95915,3.0,High
95916,2.869565217391304,High
95918,2.2,Moderate
95919,2.3333333333333335,Moderate
95922,2.8076923076923075,High
95923,2.5714285714285716,High
95925,3.0,High
95928,2.4193548387096775,Moderate
95934,2.8,High
95935,2.3333333333333335,Moderate
95936,3.0,High
95937,1.5,Moderate
